Index,Kanji,Keyword,English,Origin,SubOrigin,Mnemonic1,Mnemonic2,Compo,Strokes,Radical,Onyomi,Kunyomi,Ex1Kanji,Ex1Kana,Ex1English,Ex2Kanji,Ex2Kana,Ex2English,Ex3Kanji,Ex3Kana,Ex3English,Ex4Kanji,Ex4Kana,Ex4English
11,九,Nine,Nine,"If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for power (Frame 922).","As a primitive, we shall use this kanji to mean baseball team or simply baseball. The meaning, of course, is derived from the nine players who make up a team.",Kinda of looks like the kanji of 1 一 with the kanji of 8 八added. So think of it as 一＋八＝九.,"Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.",九: nine; baseball (RTK),2,乙,"キュウ, ク","ここの, ここの.つ",九十九,きゅうじゅうきゅう,Ninety-nine,九日,ここのか,Nine days; 9th (of the month),九,きゅう,Nine,九時,くじ,Nine o'clock
12,丸,Round,Round,"We speak of ""round numbers,"" or ""rounding a number off,"" meaning to add an insignificant amount to bring it to the nearest 10. For instance, if you add just a wee bit, the tiniest drop, to nine, you end up with a round number.","As a primitive, this element takes the meaning of a fat man. Think of a grotesquely fat man whose paunch so covers the plate that he is always getting hit by the pitch. Hence a round baseball player becomes a fat man.",Nine plus a drop rounds it off to ten!,"Watch out for plump (#120). Here Heisig could have added a ""t"" and we would have had a much better keyword : rotund. Rotund is more specific than ""round"" which begs for confusion with circle (#1811). A dictionary search on ""fat"" or ""round"" doesn´t yield this kanji, but ""rotund"" does! Primitive suggestion: the Laughing Buddha is often depicted as a rotund, smiling bald man in robes with a largely exposed pot belly stomach (symbolizing plenitude).",九: nine; baseball (RTK)　丶: dot; drop,3,丶,ガン,"まる, まる.い, まる.める",丸い,まるい,"Round, spherical",丸める,まるめる,"Make round, roll up",一丸となって,いちがんとなって,"As one, all together",日の丸,ひのまる,Rising sun flag
13,円,Circle,"Circle, Yen","This kanji, also used for Yen, is one you are not likely to need to study formally, since you can hardly get around in Japan without it. The connection is that the yennies, like pennies, are circular in shape. In any case, the elements are: glass canopy . . . walking stick . . . one.",,The shape of a Yen coin.,"A poor old man is almost killing himself trying to lift a huge glass hood with his cane (using it as a lever), to get to just one yen coin. Note : the kanji refers to a circular, round object, but also to the Japanese currency (pronounced ""en"").",円: circle; yen,4,囗,エン,"まる.い, まる",十四円,じゅうよえん,Fourteen yen,円グラフ,えんグラフ,Pie chart,百円,ひゃくえん,One hundred yen,円,えん,Circle
14,人,Person,Human Being,"The character for enter (Frame 842) showed someone walking inwards (in terms of the direction of writing), the one for person, shown here, represents someone walking outwards.","As a primitive, it can keep its kanji form except when it appears to the left (its normal position), where it is made to stand up in the form ⺅ (Similar to イ).<div>The primitive meaning is another matter. The abstract notion of person so often has a relation to the meaning of the kanji that confusion readily sets in. So many of the previous stories have included people in them that simply to use person for a primitive meaning would be risky. We need to be more specific, to focus on one particular person. Try to choose someone who has not figured in the stories so far, perhaps a colorful member of the family or a friend whom you have known for a long time. That individual will appear again and again, so be sure to choose someone who excites your imagination.</div>","Behold Mister T (of ""A-Team"" fame)! I chose Mr.T because he´s sure to make amusing stories. He is a very versatile character since he´s both the big, tough guy and the “moralistic” person, telling kids not “to do drugs or alcohol”. He is easy to imagine, the heavy gold chains are probably the most prominent feature of the character. And last but not least you can always pepper your story with the famous line “I pity da foo!” * Fittingly, on the left side of the kanji, it looks like a “T”.","(I appreciate some people´s occasional habit of using P for person in shared stories. That makes it easier to substitute Mr. T, Captain Picard, or whomever else a student is using as person.].",人: human (亻); umbrella (𠆢) (RTK),2,人,"ジン, ニン",ひと,一人,ひとり,One person,二十人,にじゅうにん,Twenty people,一人二人,ひとりふたり,One or two people,ロシア人,ロシアじん,A russian
15,百,Hundred,Hundred,"The Japanese refer to a person's 99th birthday as a ""white year"" because white is the kanji you are left with if you subtract one from a hundred.",,100 turned sideways. {sort of the same as what ashoksaraf said}.,That dirty ceiling was painted WHITE a hundred times!,"一: one; ceiling, floor (RTK)　白: white",6,白,ヒャク,,百人,ひゃくにん,A hundred people,三百六十五日,さんびゃくろくじゅうごにち,365 days,六百円,ろっぴゃくえん,Six hundred yen,百,ひゃく,Hundred
16,千,Thousand,Thousand,"This kanji is almost too simple to pull apart, but for the sake of practice, have a look at the drop above and the ten below. Now put the elements together by thinking of squeezing two more zeros out of an eyedropper alongside the number ten to make it a thousand.",,It takes many drops of ten to get to a thousand.,One T = one thousand.,千: thousand,3,十,セン,ち,八千円,はっせんえん,Eight thousand yen,一千,いっせん,One thousand,千,せん,Thousand,三千,さんぜん,Three thousand
17,万,Ten thousand,"Ten Thousand, Myriad, All","Japanese counts higher numbers in units of ten thousand, unlike the West, which advances according to units of one thousand. (Thus, for instance, 40,000 would be read ""four ten-thousands"" by a Japanese.) Given that the comma is used in larger numbers to bind up a numerical unit of one thousand, the elements for one and bound up naturally come to form ten thousand. The order of strokes here needs special attention, both because it falls outside the general principles we have learned already, and because it involves writing the element for bound up in an order opposite to the one we learned. If it is any consolation, this exception is consistent every time these three strokes come together.",,I bound ten thousand dollars together and hid it under the floor.,"We have ""one"" at the top and if you turn the kanji 90 degrees you will see arabic 4 shich means it has four zeros in front of it!",万: ten thousand,3,一,"マン, バン",,一万,いちまん,Ten thousand,万一,まんいち,If by any chance,三万円,さんまんえん,"30, 000 yen",万,まん,Ten thousand
18,口,Mouth,Mouth,"Like several of the first characters we shall learn, the kanji for mouth is a clear pictograph. Since there are no circular shapes in the kanji, the square must be used to depict the circle.","As a primitive, this form also means mouth. Any of the range of possible images that the word suggests - an opening or entrance to a cave, a river, a bottle, or even the largest hole in your head - can be used for the primitive meaning.",Looks like a huge open mouth.,"Momma used to say: ""Keep your trap shut!"" This thing is shaped like a trap door.",口: mouth,3,口,"コウ, ク",くち,一口,ひとくち,A mouthful,口,くち,Mouth,北口,きたぐち,North exit,人口,じんこう,Population
19,田,Rice field,Rice Field,"Another pictograph, this kanji looks like a bird's-eye view of a rice field divided into four plots. Be careful when writing this character to get the order of the strokes correct. You will find that it follows perfectly the principle stated in frame 4.","When used as a primitive element, the meaning of rice field is most common, but now and again it will take the meaning of brains from the fact that it looks a bit like that tangle of gray matter nestled under our skulls.",A rice field divided into four parts.,Ten people use their mouths to eat the yield of the rice fields.,田: rice field; brain (RTK),5,田,デン,た,ガス田,ガスでん,Gas field,田口,たぐち,Taguchi (surname),田中さん,たなかさん,Mr./ms. tanaka,山田さん,やまださん,Mr./ms. yamada
20,目,Eye,"Eye, Item; Subdivision; Order","Here again, if we round out the corners of this kanji and curve the middle strokes upwards and downwards respectively, we get something resembling an eye.","As a primitive, the kanji keeps its sense of eye, or more specifically, an eyeball. When placed in the surroundings of a complex kanji, the primitive will sometimes be turned on its side.",There are 3 sections. Imagine the outer two being the whites of your eye. The middle is the pupil. Fill it in with imaginary color.,目_目.,目: eye,5,目,"モク, ボク","め, -め, ま-",人目,ひとめ,"Attention, public notice",六日目,むいかめ,The sixth day,目的,もくてき,Purpose,目,め,Eyes
21,川,Stream,River,"We have taken the image of a river stream over into English to describe things that fall down in straight lines, or ripple along in lines. All of this is more than evident in the kanji given here, a pictograph of a stream.","As a primitive, this character adds to the meaning of stream the more vivid image of a flood. Note, however, that there are certain small changes in the writing of the element, depending on where it appears relative to other elements:<div>on the left, it is written the same.</div><div>on the top, it is written with the three strokes more like less-then signs</div><div>on the bottom, it is written with the third stroke similar to a fishhook</div>",So as not to confuse this with river (#146) think of streamers falling down.,"There are three default I/O Streams in UNIX, stdin, stdout, and stderr.",巛: river (川); flood (RTK),3,巛,セン,かわ,川口,かわぐち,Mouth of a river,川,かわ,River,小川さん,おがわさん,Mr./ms. ogawa,,,
22,月,Month,"Moon, Month","This character is actually a picture of the moon, with the two horizontal lines representing the left eye and mouth of the mythical ""man in the moon."" (Actually, the Japanese see a hare in the moon, but it is a little farfetched to find one in the kanji.) And one month, of course, is one cycle of the moon.","As a primitive element, this character can take on the sense of moon, flesh, or part of the body. The reasons for the latter two meanings will be explained in a later chapter.",A month is longer than a day.,"Am I the only one who sees this as someone sticking their ass in the air ""mooning"" someone (two cheeks of the butt and the legs coming off of it)? The Moon meaning connects well to the meaning of month, considering that months were traditionally measured by the phases of the moon. Also, the mooning ""ass"" part of it connects well to Hesig´s seemingly unconnected ""flesh"" or ""part of the body"" meaning (when used in primitive form).",月: moon; month,4,月,"ゲツ, ガツ",つき,三月八日,さんがつようか,44993,月日,がっぴ,Date,月曜日,げつようび,Monday,一月,いちがつ,January
23,明,Bright,"Bright, Cheerful, Clear","Among nature's bright lights, there are two that the biblical myth has God set in the sky: the sun to rule over the day and the moon to rule the night. Each of them has come to represent one of the common connotations of this key word: the sun, the bright insight of the clear thinker, and the moon, the bright intuition of the poet and the seer (see frame 13).",,The sun makes the moon bright.,"The sun and the moon are brightest objects in the day and night, respectively.",日: day; sun　月: moon; month,8,日,"メイ, ミョウ","あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす",明らかな,あきらかな,"Clear, distinct, apparent",明月,めいげつ,"Bright moon, full moon; harvest moon",明るい,あかるい,Cheerful; bright,明日,あした,Tomorrow
24,曜,Weekday,Day Of The Week,Day . . . feathers . . . turkey.,,"Tip: feathers + turkey : This combination of primitives appears six times in Heisig, so it´s worthwhile giving it a name. I suggest ""futon"" (your futon is made from turkey feathers). REF: weekday (FRAME 576) , laundry (#577), leap (#1285), outstanding (#2272), twinkle (#2534), shimmering (#2880). Story: On weekdays you hang your futon out in the sun.","The poor farmer spends every weekday while the sun shines, plucking turkey feathers.",日: day; sun　羽: feathers; wings　隹: bird; turkey (RTK),18,日,ヨウ,,曜日,ようび,Day of the week,日曜日,にちようび,Sunday,月曜日,げつようび,Monday,,,
25,火,Fire,Fire,"Just as sitting before a fire enlivens the imagination and lets you see almost anything you want to in the flames, this kanji is so simple it lets you see almost any sort of fire you want to see. It no longer makes a good pictograph, but I invite you to take a pencil and paper and play with the form - first writing it as shown below and then adding lines here and there - to see what you can come up with. Everything from matchbooks to cigarette lighters to volcanic eruptions to the destruction of Sodom and Gomorrah have been found here. No doubt you, too, will find something interesting to bend your memory around these four simple strokes.","To avoid confusion later on, it is best to keep to the meaning of a fireplace (or hearth) or a raging conflagration like a forest fire for this kanji's primitive meaning. Another primitive element for fire, based on this one, is written as 4 small drops and will mean flames, cauldron, cooking fire, or an oven fire.","For some reason, this kanji reminds me of a person running, her arms (the two drops) raised up, because she caught on fire!",A tepee getting shot at by fire arrows.,火: fire (灬),4,火,カ,"ひ, -び, ほ-",火口 (on-yomi),かこう,Crater,火曜日,かようび,Tuesday,火,ひ,Fire,火山,かざん,Volcano
26,水,Water,Water,"This character, which looks a bit like a snowflake, is actually a pictograph of water&nbsp;- not any particular body of water or movement of water, but simply the generic name for water. Should you have any difficulty remembering it, simply think of a walking stick being dropped vertically into the water, sending droplets out in all four directions. Then all you need to learn is how to write it in proper order.","As a primitive, this character can keep its form, or it can be written with three drops to the left of another primitive. This latter, as we will see, is far more common.","The kanji for water is an abstract primitive itself, so unless one is willing to break down its etymological development, it should just simply be memorized by strokes; constructing a story is not necessarily useful unless it strongly denotes its shape (I find that Heisig´s story doesn´t do this).","For those having issues with this* ""A 7K foot pool of water"" Notice it looks like a 7, and a K. Might have to practice writing it a few times.",水: water (氵) (氺),4,水,スイ,"みず, みず-",水田,すいでん,"Paddy field, rice field",月水,げっすい,Mondays and wednesdays,水曜日,すいようび,Wednesday,水,みず,Water
27,木,Tree,"Tree, Wood","Here we see a pictograph of a tree, showing the main trunk in the long vertical stroke and the boughs in the long horizontal stroke. The final two strokes sweep down in both directions to indicate the roots. Although it may look similar at first sight to the kanji for water (Frame 137), the order in which it is written is completely different and this affects its final appearance.","As a primitive, this kanji can be used to mean tree or wood. In those cases where the last two strokes are detached from the trunk, we shall change its meaning to pole, or wooden pole.","If you need a story for a tree, then you need to be hit by one.",Pictograph of a tree.,木: tree; wood,4,木,"モク, ボク","き, こ-",木目,きめ,(wood) grain,火木,かもく,Tuesdays and thursdays,木曜日,もくようび,Thursday,木,き,Tree
28,金,Gold,"Metal, Gold, Money","If this were not one of the most common characters you will ever have to write, I would apologize for having to give the explanation that follows. Anyway, we want to depict bars of gold bullion with an umbrella overhead to shade them from the heat (and perhaps to hide them as well). The bullion is made by melting down all the scepters of the kingdom, drop by drop, and shaping them into bars.","As a primitive, it means not only gold but any metal at all.",The fat king taking up the whole space under the umbrella actually isn´t fat - he just has two big gold bars hidden under his clothes.,"Under the umbrella´s shade, the king sang, "" Drop it to the left, drop it to the right, give me all the GOLD in sight!"".",金: gold; metal,8,金,"キン, コン","かね, かな-, -がね",口金,くちがね,"Metal clasp, snap; metal cap",金メダル,きんメダル,Gold medal,月水金,げっすいきん,"Mondays, wednesdays, and fridays",金曜日,きんようび,Friday
29,土,Soil,"Soil, Land","I don't like it any more than you do, but this kanji is not the pictograph it is trumped up to be: a mound of soil piled on the ground. All I can recommend is that you memorize it as it is. Anyway, it will be occurring with such frequency that you have almost no chance of forgetting it, even if you try.","As a primitive, the sense of soil is extended to that of ground because of its connection with the kanji for the same (Frame 554). From there it also takes the added meanings of dirt and land.","Remembering soil is easy. If soil is soft, you can take a walking stick and plunge it two* feet into the ground.",King Arthur pulled the magical sword Excalibur out of the hardened soil to claim his place as king.,土: ground; land; soil,3,土,"ド, ト",つち,土木,どぼく,Engineering works,土日,どにち,"Saturday and sunday, weekend",土曜日,どようび,Saturday,土,つち,Soil
30,本,Book,"Basis, Origin, Root, Book, This","Recalling that books are made of paper, and paper made of trees, one might think of a book as a slice of a tree. Can you seethe ""cross-cut"" in the trunk of the tree? Picture it as a chainsaw cutting you out a few books with which to start your own private library.",,The origin of a book is paper made out of TREEs. ONE tree can make many books.,An axe cutting a tree to make books.,"木: tree; wood　一: one; ceiling, floor (RTK)",5,木,ホン,もと,本土,ほんど,Mainland,本人,ほんにん,"The person himself, the said person",本日,ほんじつ,"Today, this day",本,ほん,Book
31,東,East,East,"As a ""Western"" language, English identifies the east with the rising sun. In more fanciful terms, we see the sun piercing through a tree as it rises in the east.","Both the direction east and the part of the world called ""the East"" are primitive meanings of this character.",Traditionally seen as a pictograph of the sun rising behind a tree.,The sun pierces through the trees as it rises in the east…,木: tree; wood　日: day; sun,8,木,トウ,ひがし,東日本,ひがしにほん,Eastern japan,東,ひがし,East,東口,ひがしぐち,East exit,,,
32,大,Large,"Big, University","Here we have a simple pictograph of a person, taking up the space of an entire character and giving it the sense of large. It should not be too hard to locate the two legs and outstretched arms.","As a primitive, we need a different meaning, since the element representing the human person will come up later. Therefore, this shape will become a large dog or, if you prefer, a St. Bernard dog. In frame 253 we will explain why this choice was made.",A person stretching their arms and legs to look large and scare a bear away.,Think of a large St. Bernard dog with his paws all stretched out.,大: large; St Bernard (RTK),3,大,"ダイ, タイ","おお-, おお.きい, おお.いに",大金,たいきん,Large sum of money,東大,とうだい,University of tokyo,大学生,だいがくせい,College student,大きい,おおきい,Big
33,小,Little,Small,"The sense of little that this character represents is not the same as ""a little bit."" That meaning comes in the next frame. Here little means ""small"" or ""tiny."" The image is one of three little drops, the first of which (the one in the middle) is written larger so that the kanji has some shape to it. The point of writing it three times is to rub the point in: little, little, nothing but little.","The primitive of the same shape keeps the same meaning. Written above a horizontal line, its form is slightly altered, the last two strokes turning inwards.",A little penguin with its wings at its side.,"A depressed child, head low and arms hung low, because he´s too little to ride the roller coaster.",小: little; owl (RTK),3,小,ショウ,"ちい.さい, こ-, お-",大小,だいしょう,Large and small; size,小川,おがわ,"Brook, streamlet",小さい,ちいさい,Small,小学校,しょうがっこう,Elementary school
34,中,In,"Middle, In, Throughout, China","The elements here are a walking stick and a mouth. Remember the trouble your mother had getting medicine in your mouth? Chances are it crossed her mind more than once to grab something handy, like your grandfather's walking stick, to pry open your jaws while she performed her duty. Keep the image of getting something in from the outside, and the otherwise abstract sense of this key word should be a lot easier than trying to spoon castor oil into a baby's mouth.",,Pocky goes in the mouth.,My GF lets me come in her mouth (pictogram).,口: mouth　丨: line; stick,4,丨,"チュウ, ジュウ",なか,中に,なかに,"In; in the middle of; between, among",日中,にっちゅう,During the day,中東,ちゅうとう,Middle east,中日,ちゅうにち,"Japan and china, japanese-chinese"
35,生,Life,"Life, Grow, Be Born, Give Birth To, Student",A single drop added to the element for grow up gives us the character for life.,"As a primitive, we may think of a microscopic cell, that miraculous unit that grows up to become a living being.","This is the first CELL of a human, the foundation of its entire LIFE, a small DROP that will GROW UP to form a complex organism.",Growing Up is just a Drop of our LIFE.,生: life; cell (RTK),5,生,"セイ, ショウ","い.きる, い.かす, い.ける, う.まれる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-",人生,じんせい,"Human life, life",東大生,とうだいせい,Student of the university of tokyo,生ビール,なまビール,Draft beer,学生,がくせい,Student
36,山,Mountain,Mountain,Note the clearer outline of a triangular mountain here.,,"Pictograph, see book. * As a primitive this element appears equally as well at the top or bottom of the kanjis (besides appearing to the left). Since a mountain often brings to mind towering peaks, I will consider it implied that the element is placed at the top of the kanji. When this primitive appears at the bottom, I will arrange my story in a way that other elements are said to be at the very top of the mountain (see FRAME 775 for an example).",YOU CAN´T POSSIBLY NEED A MNEMONIC FOR THIS!!!!,山: mountain,3,山,サン,やま,山水,さんすい,Landscape,小山,こやま,Hill,山,やま,Mountain,山川さん,やまかわさん,Mr./ms. yamakawa
37,出,Exit,"Go Out, Put Out",The kanji for exit pictures a series of mountain peaks coming out of the earth. Learn it together with the following frame.,,"Suddenly, a cactus comes out of the ground with a sign that reads: exit. Now you can leave the desert! (Note: giving this primitive the meaning ´cactus´ can be useful later).",The exit lays between these two mountains.,山: mountain　山: mountain,5,凵,"シュツ, スイ","で.る, -で, だ.す, -だ.す",出生,しゅっしょう,Birth,日の出,ひので,Sunrise,出る,でる,To exit,出口,でぐち,Exit
38,入,Enter,"Enter, Put In","This character is meant to be a picture of someone walking leftwards, putting one leg forward in order to enter someplace. Since the ""in"" side of a character is the left, it should be easy to remember the writing of this character.","As a primitive, the meaning of the key word is expanded to include: to go in, to put in, to come in, and the like. It generally appears atop its relative primitive, where, unlike the element for umbrella, the two strokes do not touch each other, making it virtually the same as the kanji for eight. When it appears in any other position, however, it retains its original form.","Pictograph, see book. * As a primitive, using the image of going through a door, even one that stands alone with the frame and no wall around, helps flesh out the primitive “enter”.",Person enters stage left…,入: enter; insert,2,入,ニュウ,"い.る, -い.る, -い.り, い.れる, -い.れ, はい.る",入金,にゅうきん,"Payment, deposit",入る,はいる,To enter,入り口,いりぐち,Entrance,入れる,いれる,To put something in
39,下,Below,"Down, Lower, Below","Here we see our famous miraculous magic wand hanging, all on its own, below the ceiling, as you probably already guessed would happen. In addition to giving us two new kanji, the two shapes given in this and the preceding frame also serve to fix the use of the primitives for ceiling and floor, by drawing our attention successively to the line standing above and below the primitive element to which it is related.",,Roots are below the ground.,A magic wand hanging below the ceiling.,"一: one; ceiling, floor (RTK)　卜: divination; magic wand (RTK)",3,一,"カ, ゲ","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる",目下 (kun-yomi),めした,Subordinate,目下 (on-yomi),もっか,"Now, at present",川下,かわしも,"Downstream, downriver",下水,げすい,"Sewerage, drainage"
40,上,Above,"Up, Rise, Raise, Above","The two directions, above and below, are usually pointed at with the finger. But the characters do not follow that custom, so we have to choose something else, easily remembered. The primitives show a magic wand standing above a floor&nbsp;- ""magically,"" you might say. Anyway, go right on to the next frame, since the two belong together and are best remembered as a unit, just as the words above and below suggest each other.",,A magic wand standing on above the floor.,"Above all else, be grounded if you are going to practice augury (#2103)卜. You could turn yourself into a トoad...","卜: divination; magic wand (RTK)　一: one; ceiling, floor (RTK)",3,一,"ジョウ, ショウ","うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す ・",上がる,あがる,"Go up, rise; be finished",上下,じょうげ,High and low; rise and fall; first and second (volumes),目上,めうえ,"One's superiors, one's seniors; one's elders",川上,かわかみ,"Upstream, upriver"
41,止,Stop,Stop,"The character for stop is easiest to learn as a pictograph, though you have to take a moment to see it. Take it as a rather crude drawing of a footprint: the first 3 strokes represent the front of the foot and the last the heel. The big toe (stroke 2 sticking out to the right) on the right indicates that this is a left foot.","Although the meaning of stop will be retained, we will return often to the pictographic meaning of footprint.","If you find in the ground a walking stick with a magic wand, STOP! Maybe it´s some kind of macumba/black magic/voodoo bad thing.","If you don´t remember this one from the 10,000,000 STOP signs on roads all over Japan, you´re beyyond help!",止: stop; footprint (RTK),4,止,シ,"と.まる, -ど.まり, と.める, -と.める, -ど.め, や.める*, や.む*",止める,とめる,"Suspend, stop, discontinue, cancel",止まる,とまる,(something) stops,中止する,ちゅうしする,To cancel,,,
